order,species,n
Chiroptera,Glauconycteris humeralis,12
Chiroptera,Glauconycteris kenyacola,2
Chiroptera,Glauconycteris machadoi,1
Chiroptera,Glauconycteris poensis,146
Chiroptera,Glauconycteris superba,28
Chiroptera,Glauconycteris variegata,244
Chiroptera,Glischropus aquilus,1
Chiroptera,Glischropus bucephalus,5
Chiroptera,Glischropus javanus,5
Chiroptera,Glischropus tylopus,433
Chiroptera,Glossophaga antillarum,116
Chiroptera,Glossophaga commissarisi,2060
Chiroptera,Glossophaga leachii,2596
Chiroptera,Glossophaga longirostris,3403
Chiroptera,Glossophaga morenoi,610
Chiroptera,Glossophaga mutica,9363
Chiroptera,Glossophaga soricina,15343
Chiroptera,Glossophaga valens,598
Chiroptera,Glyphonycteris behnii,5
Chiroptera,Glyphonycteris daviesi,63
Chiroptera,Glyphonycteris sylvestris,158
Chiroptera,Haplonycteris fischeri,1317
Chiroptera,Harpiocephalus harpia,143
Chiroptera,Harpiola grisea,1
Chiroptera,Harpiola isodon,11
Chiroptera,Harpyiocephalus esperoptenus,2
Chiroptera,Harpyionycteris celebensis,89
Chiroptera,Harpyionycteris whiteheadi,141
Chiroptera,Hesperoptenus blanfordi,78
Chiroptera,Hesperoptenus doriae,6
Chiroptera,Hesperoptenus gaskelli,10
Chiroptera,Hesperoptenus tickelli,91
Chiroptera,Hesperoptenus tomesi,17
Chiroptera,Hipposideros abae,196
Chiroptera,Hipposideros alongensis,34
Chiroptera,Hipposideros armiger,1459
Chiroptera,Hipposideros arpiocephalus,2
Chiroptera,Hipposideros ater,982
Chiroptera,Hipposideros beatus,252
Chiroptera,Hipposideros bicolor,1493
Chiroptera,Hipposideros boeadii,3
Chiroptera,Hipposideros breviceps,40
Chiroptera,Hipposideros caffer,4977
Chiroptera,Hipposideros calcaratus,658
Chiroptera,Hipposideros ceruinus,1
Chiroptera,Hipposideros cervinus,3540
Chiroptera,Hipposideros cineraceus,267
Chiroptera,Hipposideros coronatus,12
Chiroptera,Hipposideros coxi,12
Chiroptera,Hipposideros crumeniferus,1
Chiroptera,Hipposideros curtus,80
Chiroptera,Hipposideros demissus,2
Chiroptera,Hipposideros diadema,3100
Chiroptera,Hipposideros dinops,25
Chiroptera,Hipposideros doriae,21
Chiroptera,Hipposideros durgadasi,9
Chiroptera,Hipposideros dyacorum,92
Chiroptera,Hipposideros einnaythu,1
Chiroptera,Hipposideros fuliginosus,180
Chiroptera,Hipposideros fulvus,127
Chiroptera,Hipposideros galeritus,1131
Chiroptera,Hipposideros gentilis,227
Chiroptera,Hipposideros grandis,161
Chiroptera,Hipposideros griffini,6
Chiroptera,Hipposideros griffoni,1
Chiroptera,Hipposideros halophyllus,6
Chiroptera,Hipposideros hypophyllus,14
Chiroptera,Hipposideros inexpectatus,3
Chiroptera,Hipposideros inornatus,107
Chiroptera,Hipposideros ipposideros,16
Chiroptera,Hipposideros jonesi,129
Chiroptera,Hipposideros khaokhouayensis,25
Chiroptera,Hipposideros kunzi,5
Chiroptera,Hipposideros lamottei,21
Chiroptera,Hipposideros lankadiva,86
Chiroptera,Hipposideros larvatus,1569
Chiroptera,Hipposideros lekaguli,34
Chiroptera,Hipposideros lylei,122
Chiroptera,Hipposideros macrobullatus,6
Chiroptera,Hipposideros macrobullotus,1
Chiroptera,Hipposideros madurae,1
Chiroptera,Hipposideros maggietaylorae,230
Chiroptera,Hipposideros marisae,19
Chiroptera,Hipposideros megalotis,28
Chiroptera,Hipposideros nequam,3
Chiroptera,Hipposideros nicobarulae,23
Chiroptera,Hipposideros obscurus,170
Chiroptera,Hipposideros orbiculus,6
Chiroptera,Hipposideros papua,104
Chiroptera,Hipposideros pelingensis,27
Chiroptera,Hipposideros pendleburyi,21
Chiroptera,Hipposideros pomona,530
Chiroptera,Hipposideros pratti,121
Chiroptera,Hipposideros pygmaeus,124
Chiroptera,Hipposideros ridleyi,47
Chiroptera,Hipposideros rotalis,24
Chiroptera,Hipposideros ruber,3763
Chiroptera,Hipposideros scutinares,19
Chiroptera,Hipposideros sorenseni,1
Chiroptera,Hipposideros speoris,283
Chiroptera,Hipposideros sumbae,1
Chiroptera,Hipposideros tephrus,339
Chiroptera,Hipposideros turpis,135
Chiroptera,Histiotus alienus,1
Chiroptera,Histiotus humboldti,21
Chiroptera,Histiotus laephotis,4
Chiroptera,Histiotus macrotus,163
Chiroptera,Histiotus magellanicus,21
Chiroptera,Histiotus montanus,348
Chiroptera,Histiotus velatus,130
Chiroptera,Hsunycteris cadenai,18
Chiroptera,Hsunycteris dashe,2
Chiroptera,Hsunycteris pattoni,13
Chiroptera,Hsunycteris thomasi,1272
Chiroptera,Hylonycteris underwoodi,270
Chiroptera,Hypsignathus monstrosus,509
Chiroptera,Hypsugo affinis,8
Chiroptera,Hypsugo alaschanicus,25
Chiroptera,Hypsugo arabicus,4
Chiroptera,Hypsugo ariel,25
Chiroptera,Hypsugo cadornae,80
Chiroptera,Hypsugo dolichodon,8
Chiroptera,Hypsugo imbricatus,144
Chiroptera,Hypsugo kitcheneri,14
Chiroptera,Hypsugo lophurus,1
Chiroptera,Hypsugo macrotis,60
Chiroptera,Hypsugo mordax,9
Chiroptera,Hypsugo musciculus,16
Chiroptera,Hypsugo petersi,51
Chiroptera,Hypsugo pulveratus,144
Chiroptera,Hypsugo savii,474
Chiroptera,Hypsugo vordermanni,5
Chiroptera,Ia io,77
Chiroptera,Icaronycteris index,1
Chiroptera,Idionycteris phyllotis,325
Chiroptera,Kerivoula africana,7
Chiroptera,Kerivoula agnella,2
Chiroptera,Kerivoula argentata,81
Chiroptera,Kerivoula crypta,1
Chiroptera,Kerivoula cuprosa,9
Chiroptera,Kerivoula depressa,1
Chiroptera,Kerivoula eriophora,1
Chiroptera,Kerivoula flora,7
Chiroptera,Kerivoula furva,18
Chiroptera,Kerivoula hardwickii,570
Chiroptera,Kerivoula intermedia,55
Chiroptera,Kerivoula kachinensis,28
Chiroptera,Kerivoula krauensis,7
Chiroptera,Kerivoula lanosa,74
Chiroptera,Kerivoula lenis,37
Chiroptera,Kerivoula minuta,138
Chiroptera,Kerivoula muscina,3
Chiroptera,Kerivoula myrella,32
Chiroptera,Kerivoula papillosa,257
Chiroptera,Kerivoula pellucida,106
Chiroptera,Kerivoula phalaena,18
Chiroptera,Kerivoula picta,161
Chiroptera,Kerivoula smithii,23
Chiroptera,Kerivoula titania,71
Chiroptera,Kerivoula whiteheadi,49
Chiroptera,Laephotis angolensis,11
Chiroptera,Laephotis botswanae,76
Chiroptera,Laephotis capensis,2560
Chiroptera,Laephotis kirinyaga,18
Chiroptera,Laephotis malagasyensis,16
Chiroptera,Laephotis matroka,97
Chiroptera,Laephotis namibensis,11
Chiroptera,Laephotis robertsi,5
Chiroptera,Laephotis stanleyi,25
Chiroptera,Laephotis wintoni,23
Chiroptera,Lampronycteris brachyotis,352
Chiroptera,Lasionycteris noctivagans,3944
Chiroptera,Lasiurus arequipae,4
Chiroptera,Lasiurus atratus,20
Chiroptera,Lasiurus blossebillii,10
Chiroptera,Lasiurus blossevillii,531
Chiroptera,Lasiurus borealis,7706
Chiroptera,Lasiurus castaneus,7
Chiroptera,Lasiurus degelidus,3
Chiroptera,Lasiurus ebenus,1
Chiroptera,Lasiurus frantzii,709
Chiroptera,Lasiurus minor,16
Chiroptera,Lasiurus pfeifferi,19
Chiroptera,Lasiurus seminolus,824
Chiroptera,Lasiurus varius,55
Chiroptera,Latidens salimalii,2
Chiroptera,Lavia frons,1229
Chiroptera,Leptonycteris curasoae,1214
Chiroptera,Leptonycteris nivalis,1891
Chiroptera,Leptonycteris yerbabuenae,3736
Chiroptera,Lichonycteris degener,5
Chiroptera,Lichonycteris obscura,170
Chiroptera,Lionycteris spurrelli,724
Chiroptera,Lissonycteris angolensis,1078
Chiroptera,Lonchophylla bokermanni,9
Chiroptera,Lonchophylla chocoana,11
Chiroptera,Lonchophylla concava,104
Chiroptera,Lonchophylla dekeyseri,10
Chiroptera,Lonchophylla fornicata,2
Chiroptera,Lonchophylla handleyi,93
Chiroptera,Lonchophylla hesperia,40
Chiroptera,Lonchophylla inexpectata,7
Chiroptera,Lonchophylla mordax,87
Chiroptera,Lonchophylla orienticollina,19
Chiroptera,Lonchophylla robusta,643
Chiroptera,Lonchorhina aurita,882
Chiroptera,Lonchorhina fernandezi,4
Chiroptera,Lonchorhina inusitata,31
Chiroptera,Lonchorhina marinkellei,10
