order,species,taxonKey,frozen,tissue,buffer,tissUbuff
Chiroptera,Lasiurus varius,11386861,0,0,0,0
Chiroptera,Latidens salimalii,2432972,0,0,0,0
Chiroptera,Lavia frons,2433354,0,12,111,123
Chiroptera,Lavia frons,4266659,0,0,2,2
Chiroptera,Lavia frons,4266661,0,0,6,6
Chiroptera,Lavia frons,7261944,0,0,3,3
Chiroptera,Lavia frons,8906435,0,0,0,0
Chiroptera,Lavia frons,10159570,0,0,0,0
Chiroptera,Leptonycteris curasoae,2433316,0,16,49,65
Chiroptera,Leptonycteris nivalis,2433317,0,7,438,443
Chiroptera,Leptonycteris nivalis,10271744,0,0,0,0
Chiroptera,Leptonycteris yerbabuenae,2433312,5,154,416,452
Chiroptera,Leptonycteris yerbabuenae,2433314,0,0,2,2
Chiroptera,Leptonycteris yerbabuenae,6163662,0,21,170,172
Chiroptera,Leptonycteris yerbabuenae,10411530,0,0,0,0
Chiroptera,Lichonycteris degener,10693330,0,0,0,0
Chiroptera,Lichonycteris obscura,2433253,0,4,9,13
Chiroptera,Lichonycteris obscura,9936971,0,0,0,0
Chiroptera,Lionycteris spurrelli,2433237,6,34,12,41
Chiroptera,Lionycteris spurrelli,9855315,0,0,0,0
Chiroptera,Lissonycteris angolensis,2432956,0,0,14,14
Chiroptera,Lissonycteris angolensis,4265638,0,0,1,1
Chiroptera,Lissonycteris angolensis,4265641,0,0,0,0
Chiroptera,Lissonycteris angolensis,4265642,0,0,0,0
Chiroptera,Lissonycteris angolensis,4265643,0,0,0,0
Chiroptera,Lissonycteris angolensis,7261733,0,20,33,53
Chiroptera,Lissonycteris angolensis,7261734,0,0,0,0
Chiroptera,Lissonycteris angolensis,8778510,0,0,0,0
Chiroptera,Lissonycteris angolensis,8974202,0,0,0,0
Chiroptera,Lonchophylla bokermanni,2433226,0,0,1,1
Chiroptera,Lonchophylla chocoana,5787393,0,0,0,0
Chiroptera,Lonchophylla chocoana,10576747,0,0,0,0
Chiroptera,Lonchophylla concava,4265424,0,0,24,24
Chiroptera,Lonchophylla concava,4832212,0,7,6,10
Chiroptera,Lonchophylla dekeyseri,2433230,0,1,0,1
Chiroptera,Lonchophylla fornicata,7472296,0,0,0,0
Chiroptera,Lonchophylla handleyi,2433225,0,11,26,27
Chiroptera,Lonchophylla hesperia,2433229,0,11,9,18
Chiroptera,Lonchophylla inexpectata,8756483,0,0,0,0
Chiroptera,Lonchophylla mordax,2433227,1,30,19,39
Chiroptera,Lonchophylla mordax,7261686,0,0,0,0
Chiroptera,Lonchophylla mordax,10107186,0,0,0,0
Chiroptera,Lonchophylla orienticollina,7400403,0,1,1,1
Chiroptera,Lonchophylla robusta,2433224,0,12,83,93
Chiroptera,Lonchophylla robusta,10180536,0,0,0,0
Chiroptera,Lonchorhina aurita,2433215,0,15,21,35
Chiroptera,Lonchorhina aurita,4265386,0,0,0,0
Chiroptera,Lonchorhina aurita,7261682,0,3,13,13
Chiroptera,Lonchorhina fernandezi,2433213,0,0,0,0
Chiroptera,Lonchorhina inusitata,4265387,0,2,0,2
Chiroptera,Lonchorhina marinkellei,2433216,0,0,0,0
Chiroptera,Lonchorhina orinocensis,2433214,0,0,0,0
Chiroptera,Lonchorhina orinocensis,10051910,0,0,0,0
Chiroptera,Lonchorhina orinocensis,10632528,0,0,0,0
Chiroptera,Lophostoma brasiliense,2433201,0,5,20,23
Chiroptera,Lophostoma brasiliense,5706814,2,15,8,21
Chiroptera,Lophostoma brasiliense,9879410,0,0,0,0
Chiroptera,Lophostoma brasiliense,10518881,0,0,0,0
Chiroptera,Lophostoma carrikeri,2433200,0,0,0,0
Chiroptera,Lophostoma carrikeri,5706811,4,6,1,6
Chiroptera,Lophostoma carrikeri,10409351,0,0,0,0
Chiroptera,Lophostoma evotis,2433204,0,1,1,1
Chiroptera,Lophostoma evotis,5706817,0,2,3,3
Chiroptera,Lophostoma kalkoae,7633986,0,0,0,0
Chiroptera,Lophostoma occidentale,5706815,0,0,0,0
Chiroptera,Lophostoma occidentale,5787389,0,6,2,6
Chiroptera,Lophostoma occidentale,8069316,0,7,2,7
Chiroptera,Lophostoma occidentale,10874990,0,0,0,0
Chiroptera,Lophostoma schulzi,2433202,0,0,0,0
Chiroptera,Lophostoma schulzi,5706813,1,3,0,3
Chiroptera,Lophostoma schulzi,10367277,0,0,0,0
Chiroptera,Lophostoma silvicola,2433205,0,13,10,22
Chiroptera,Lophostoma silvicola,5706810,0,0,0,0
Chiroptera,Lophostoma silvicola,5706812,0,1,0,1
Chiroptera,Lophostoma silvicola,5706818,7,8,2,10
Chiroptera,Lophostoma silvicola,7261670,2,3,2,5
Chiroptera,Lophostoma silvicola,8909930,0,0,0,0
Chiroptera,Lophostoma silvicola,9921221,0,0,0,0
Chiroptera,Lophostoma silvicola,10122958,0,0,0,0
Chiroptera,Lophostoma silvicola,10164761,0,0,0,0
Chiroptera,Lophostoma silvicola,10560893,0,0,0,0
Chiroptera,Lophostoma silvicola,11224934,4,62,21,73
Chiroptera,Lyroderma lyra,2433351,0,4,13,17
Chiroptera,Lyroderma lyra,4266662,0,1,0,1
Chiroptera,Lyroderma lyra,7261945,0,0,0,0
Chiroptera,Lyroderma lyra,9916025,0,0,0,0
Chiroptera,Lyroderma lyra,10372492,0,0,0,0
Chiroptera,Lyroderma lyra,10814431,0,0,0,0
Chiroptera,Macroderma gigas,4832156,0,0,0,0
Chiroptera,Macroderma gigas,5218772,2,10,60,70
Chiroptera,Macroderma gigas,10128183,0,0,0,0
Chiroptera,Macroglossus minimus,5218625,189,293,1389,1656
Chiroptera,Macroglossus minimus,5706951,0,45,19,64
Chiroptera,Macroglossus minimus,5706952,0,0,1,1
Chiroptera,Macroglossus minimus,5706954,0,0,45,45
Chiroptera,Macroglossus minimus,7261727,0,0,3,3
Chiroptera,Macroglossus minimus,8932136,0,0,8,8
Chiroptera,Macroglossus minimus,10775498,0,1,0,1
Chiroptera,Macroglossus sobrinus,5218626,2,6,27,32
Chiroptera,Macroglossus sobrinus,5706953,0,0,0,0
Chiroptera,Macroglossus sobrinus,5787450,0,0,0,0
Chiroptera,Macroglossus sobrinus,7261728,0,1,4,5
Chiroptera,Macroglossus sobrinus,8785143,0,0,0,0
Chiroptera,Macronycteris commersonii,5218577,1,32,29,52
Chiroptera,Macronycteris commersonii,7575182,0,0,0,0
Chiroptera,Macronycteris commersonii,7926003,0,0,0,0
Chiroptera,Macronycteris commersonii,9967136,0,0,0,0
Chiroptera,Macronycteris commersonii,10810698,0,0,0,0
Chiroptera,Macronycteris cryptovalorona,10891688,0,0,0,0
Chiroptera,Macronycteris gigas,5706915,1,1,22,23
Chiroptera,Macronycteris gigas,10771840,0,0,0,0
Chiroptera,Macronycteris thomensis,5706910,0,0,0,0
Chiroptera,Macronycteris thomensis,10877783,0,0,0,0
Chiroptera,Macronycteris vittatus,5706879,0,5,13,18
Chiroptera,Macronycteris vittatus,5787289,0,0,0,0
Chiroptera,Macronycteris vittatus,7359810,0,0,0,0
Chiroptera,Macronycteris vittatus,10838777,0,0,0,0
Chiroptera,Macrophyllum macrophyllum,5218752,1,7,26,33
Chiroptera,Macrophyllum macrophyllum,10014203,0,0,0,0
Chiroptera,Macrophyllum macrophyllum,10029900,0,0,0,0
Chiroptera,Macrophyllum macrophyllum,10654647,0,0,0,0
Chiroptera,Macrotus californicus,2433296,2,31,1133,1161
Chiroptera,Macrotus californicus,10085184,0,0,0,0
Chiroptera,Macrotus waterhousii,2433295,11,63,232,295
