order,species,frozen,tissue,buffer,tissUbuff
Chiroptera,Diclidurus albus,0,8,8,16
Chiroptera,Diclidurus ingens,0,0,0,0
Chiroptera,Diclidurus isabella,6,8,0,8
Chiroptera,Diclidurus scutatus,1,1,4,5
Chiroptera,Diphylla centralis,0,0,0,0
Chiroptera,Diphylla ecaudata,2,21,101,107
Chiroptera,Dobsonia anderseni,0,0,30,30
Chiroptera,Dobsonia beauforti,0,0,0,0
Chiroptera,Dobsonia chapmani,0,0,0,0
Chiroptera,Dobsonia crenulata,0,0,5,5
Chiroptera,Dobsonia exoleta,0,0,11,11
Chiroptera,Dobsonia inermis,43,6,33,38
Chiroptera,Dobsonia minor,0,15,5,19
Chiroptera,Dobsonia moluccensis,153,166,222,386
Chiroptera,Dobsonia pannietensis,0,0,0,0
Chiroptera,Dobsonia peronii,0,0,6,6
Chiroptera,Dobsonia praedatrix,0,2,83,85
Chiroptera,Dobsonia viridis,0,0,6,6
Chiroptera,Doryrhina camerunensis,0,0,0,0
Chiroptera,Doryrhina corynophyllus,0,0,0,0
Chiroptera,Doryrhina cyclops,2,8,55,62
Chiroptera,Doryrhina edwardshilli,0,0,0,0
Chiroptera,Doryrhina muscinus,0,1,5,6
Chiroptera,Doryrhina semoni,21,23,6,28
Chiroptera,Doryrhina stenotis,0,3,13,16
Chiroptera,Doryrhina wollastoni,0,0,6,6
Chiroptera,Dyacopterus brooksi,0,0,1,1
Chiroptera,Dyacopterus rickarti,0,0,0,0
Chiroptera,Dyacopterus spadiceus,2,10,1,11
Chiroptera,Ectophylla alba,0,3,7,10
Chiroptera,Eidolon dupreanum,0,1,6,7
Chiroptera,Eidolon helvum,2,14,81,90
Chiroptera,Emballonura alecto,0,27,122,133
Chiroptera,Emballonura beccarii,0,0,61,61
Chiroptera,Emballonura beccarli,0,0,0,0
Chiroptera,Emballonura dianae,0,1,5,6
Chiroptera,Emballonura furax,0,1,41,42
Chiroptera,Emballonura monticola,0,1,29,30
Chiroptera,Emballonura raffrayana,3,0,88,88
Chiroptera,Emballonura semicaudata,0,2,103,105
Chiroptera,Emballonura seni,0,0,0,0
Chiroptera,Emballonura serii,0,0,0,0
Chiroptera,Enchisthenes hartii,1,34,90,111
Chiroptera,Eonycteris major,0,4,1,4
Chiroptera,Eonycteris robusta,0,33,12,45
Chiroptera,Eonycteris spelaea,1,44,150,182
Chiroptera,Epomophorus angolensis,0,0,4,4
Chiroptera,Epomophorus anselli,0,0,0,0
Chiroptera,Epomophorus crypturus,0,6,9,15
Chiroptera,Epomophorus dobsonii,0,0,10,10
Chiroptera,Epomophorus gambianus,8,16,81,97
Chiroptera,Epomophorus grandis,0,0,2,2
Chiroptera,Epomophorus intermedius,0,0,0,0
Chiroptera,Epomophorus labiatus,0,74,156,210
Chiroptera,Epomophorus minor,12,16,35,51
Chiroptera,Epomophorus pusillus,0,29,203,232
Chiroptera,Epomophorus wahlbergi,0,49,118,167
Chiroptera,Epomops buettikoferi,0,0,91,91
Chiroptera,Epomops franqueti,2,30,81,111
Chiroptera,Eptesicus anatolicus,0,0,0,0
Chiroptera,Eptesicus andinus,0,1,9,10
Chiroptera,Eptesicus bottae,0,3,1,4
Chiroptera,Eptesicus brasiliensis,2,21,62,80
Chiroptera,Eptesicus chiriquinus,1,6,2,7
Chiroptera,Eptesicus diminutus,0,15,8,19
Chiroptera,Eptesicus floweri,0,0,0,0
Chiroptera,Eptesicus furinalis,8,86,265,326
Chiroptera,Eptesicus fuscus,105,858,1153,1859
Chiroptera,Eptesicus gobiensis,17,65,0,65
Chiroptera,Eptesicus guadeloupensis,0,0,0,0
Chiroptera,Eptesicus hottentotus,0,2,5,7
Chiroptera,Eptesicus innoxius,0,9,2,11
