order,species,taxonKey,n
Chiroptera,Artibeus ravus,7439917,54
Chiroptera,Artibeus ravus,11251946,11
Chiroptera,Artibeus rosenbergi,5787382,1
Chiroptera,Artibeus rosenbergi,7719378,66
Chiroptera,Artibeus schwartzi,4265315,11
Chiroptera,Artibeus schwartzi,8038457,430
Chiroptera,Artibeus toltecus,2433260,1292
Chiroptera,Artibeus toltecus,4265329,487
Chiroptera,Artibeus toltecus,4265334,561
Chiroptera,Artibeus toltecus,4832190,1653
Chiroptera,Artibeus toltecus,10216171,33
Chiroptera,Artibeus watsoni,4265337,1130
Chiroptera,Artibeus watsoni,4265339,123
Chiroptera,Artibeus watsoni,4832189,401
Chiroptera,Artibeus watsoni,4832193,6
Chiroptera,Artibeus watsoni,9978741,3
Chiroptera,Artibeus watsoni,10065484,2
Chiroptera,Artibeus watsoni,10309508,11
Chiroptera,Artibeus watsoni,10373529,2
Chiroptera,Artibeus watsoni,10618893,9
Chiroptera,Asellia arabica,7386942,4
Chiroptera,Asellia italosomalica,8123704,12
Chiroptera,Asellia patrizii,2432601,32
Chiroptera,Asellia tridens,2432602,1556
Chiroptera,Asellia tridens,4265488,51
Chiroptera,Asellia tridens,7261700,272
Chiroptera,Asellia tridens,10205757,5
Chiroptera,Aselliscus dongbacanus,10686475,33
Chiroptera,Aselliscus stoliczkanus,2432598,320
Chiroptera,Aselliscus stoliczkanus,9830327,12
Chiroptera,Aselliscus stoliczkanus,9913007,10
Chiroptera,Aselliscus stoliczkanus,9980678,2
Chiroptera,Aselliscus stoliczkanus,10063492,2
Chiroptera,Aselliscus stoliczkanus,10073633,8
Chiroptera,Aselliscus stoliczkanus,10214192,1
Chiroptera,Aselliscus stoliczkanus,10224362,9
Chiroptera,Aselliscus stoliczkanus,10307524,14
Chiroptera,Aselliscus stoliczkanus,10375496,2
Chiroptera,Aselliscus stoliczkanus,10459121,27
Chiroptera,Aselliscus tricuspidatus,2432599,531
Chiroptera,Aselliscus tricuspidatus,4265588,525
Chiroptera,Aselliscus tricuspidatus,4265589,172
Chiroptera,Aselliscus tricuspidatus,4265590,39
Chiroptera,Aselliscus tricuspidatus,7261722,48
Chiroptera,Austronomus australis,2433013,66
Chiroptera,Austronomus australis,10774765,859
Chiroptera,Austronomus kuboriensis,4266601,8
Chiroptera,Balantiopteryx infosca,10757821,1
Chiroptera,Balantiopteryx infusca,2433134,7
Chiroptera,Balantiopteryx io,2433133,1114
Chiroptera,Balantiopteryx io,10464337,13
Chiroptera,Balantiopteryx io,11075832,1
Chiroptera,Balantiopteryx plicata,2433132,1600
Chiroptera,Balantiopteryx plicata,4265247,307
Chiroptera,Balantiopteryx plicata,7261655,4122
Chiroptera,Balantiopteryx plicata,10219180,77
Chiroptera,Balionycteris maculata,2432945,256
Chiroptera,Balionycteris maculata,4265622,1
Chiroptera,Balionycteris maculata,8835486,1
Chiroptera,Balionycteris maculata,10028695,8
Chiroptera,Balionycteris maculata,10259379,17
Chiroptera,Balionycteris seimundi,4265623,23
